series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep
Mr Robot,eps2.7_init_5.fve,8.8,"2,205",19,/title/tt5347322/,0.011786038077969175,0.3739800543970988,0.0027198549410698096,0.0027198549410698096,0.004533091568449683,0.012692656391659111,0.017679057116953764,0.06708975521305531,0.1944696282864914,0.31233000906618313,2,9
Mr Robot,eps2.8_h1dden-pr0cess.axx,9.4,"3,068",20,/title/tt5347330/,0.011726384364820847,0.645928338762215,0.0029315960912052116,0.001954397394136808,0.0035830618892508143,0.004234527687296417,0.008794788273615635,0.03159609120521173,0.0732899022801303,0.21596091205211726,2,10
Mr Robot,eps2.9_pyth0n-pt1.p7z,8.7,"2,254",21,/title/tt5831628/,0.023957409050576754,0.3611357586512866,0.005767524401064774,0.0075421472937000885,0.008429458740017746,0.02129547471162378,0.023957409050576754,0.07542147293700088,0.1912156166814552,0.28127772848269744,2,11
Mr Robot,eps2.9_pyth0n-pt2.p7z,9.0,"2,571",22,/title/tt5831630/,0.022939346811819597,0.4797822706065319,0.006220839813374806,0.006609642301710731,0.006220839813374806,0.01671850699844479,0.024494556765163298,0.05482115085536547,0.11314152410575427,0.2690513219284603,2,12
Sense8,Limbic Resonance,7.5,"3,072",1,/title/tt3818888/,0.03020461188697629,0.2380643065930497,0.013640792465086067,0.014615134784020786,0.018837284832737902,0.03864891198441052,0.07989607015264696,0.21500487171159469,0.23449171809028904,0.11659629749918805,1,1
Sense8,I Am Also A We,8.0,"2,493",2,/title/tt3818892/,0.02225130890052356,0.5466841186736475,0.003926701570680628,0.0034904013961605585,0.007417102966841187,0.008726003490401396,0.02050610820244328,0.034904013961605584,0.1082024432809773,0.24389179755671903,1,2
Sense8,Smart Money's on the Skinny Bitch,8.4,"2,336",3,/title/tt3833452/,0.0248,0.2868,0.006,0.0064,0.0112,0.0216,0.0388,0.1448,0.296,0.1636,1,3
Sense8,What's Going On?,8.9,"2,550",4,/title/tt3852470/,0.01990049751243781,0.41691542288557215,0.001990049751243781,0.0024875621890547263,0.003482587064676617,0.015422885572139304,0.024875621890547265,0.06467661691542288,0.18756218905472638,0.2626865671641791,1,4
Sense8,Art Is Like Religion,8.3,"2,118",5,/title/tt3887882/,0.021880819366852888,0.5740223463687151,0.0013966480446927375,0.00186219739292365,0.0023277467411545625,0.008379888268156424,0.016294227188081937,0.036312849162011177,0.10335195530726257,0.23417132216014896,1,5
Sense8,Demons,8.6,"2,194",6,/title/tt3887888/,0.02019473494410386,0.6786873422286333,0.00144248106743599,0.0018031013342949874,0.00432744320230797,0.011179228272628922,0.01153984853948792,0.026685899747565814,0.06743598990263253,0.17670393076090876,1,6
Sense8,WWN Double-D?,8.7,"2,002",7,/title/tt3887950/,0.019133151112846546,0.49082389691526745,0.0023428348301444747,0.0023428348301444747,0.003514252245216712,0.01015228426395939,0.015618898867629832,0.049199531433033974,0.13939867239359624,0.26747364310816085,1,7
Sense8,We Will All Be Judged by the Courage of Our Hearts,8.9,"2,077",8,/title/tt3887958/,0.022107243650047036,0.3635936030103481,0.0028222013170272815,0.003292568203198495,0.0051740357478833494,0.017873941674506115,0.03574788334901223,0.10159924741298212,0.23753527751646283,0.21025399811853246,1,8
Sense8,Death Doesn't Let You Say Goodbye,8.4,"2,039",9,/title/tt3963482/,0.020059752454118653,0.3388817755014938,0.0038412291933418692,0.00597524541186513,0.005548442168160478,0.012377294067434912,0.035424669227486126,0.09944515578318396,0.2513871105420401,0.22705932565087494,1,9
Sense8,What Is Human?,9.0,"2,284",10,/title/tt3963484/,0.02134423251589464,0.44595821980018163,0.004087193460490463,0.004087193460490463,0.005903723887375113,0.014986376021798364,0.030881017257039057,0.07584014532243415,0.17302452316076294,0.22388737511353315,1,10
Sense8,Just Turn the Wheel and the Future Changes,9.1,"2,138",11,/title/tt3963678/,0.02014388489208633,0.49256594724220626,0.0014388489208633094,0.002398081534772182,0.0019184652278177458,0.008633093525179856,0.018225419664268584,0.05467625899280575,0.13525179856115108,0.2647482014388489,1,11
Sense8,I Can't Leave Her,9.3,"2,760",12,/title/tt3963682/,0.02344894968246214,0.4225696140693698,0.00537371763556424,0.005862237420615535,0.006350757205666829,0.0180752320468979,0.03957010258915486,0.08304836345872008,0.19101123595505617,0.20468978993649242,1,12
Sense8,Happy F*cking New Year,8.8,"2,453",13,/title/tt5031232/,0.01653225806451613,0.5201612903225806,0.008870967741935484,0.0064516129032258064,0.011693548387096775,0.02056451612903226,0.03467741935483871,0.052016129032258066,0.11008064516129032,0.21895161290322582,2,1
Sense8,Who Am I?,9.2,692,14,/title/tt5362622/,0.0027624309392265192,0.6132596685082873,0.0027624309392265192,0.0013812154696132596,0.0027624309392265192,0.0027624309392265192,0.011049723756906077,0.049723756906077346,0.11187845303867404,0.20165745856353592,2,2
Sense8,Obligate Mutualisms,9.1,579,15,/title/tt5362626/,0.0016233766233766235,0.5941558441558441,0.0016233766233766235,0.0,0.0,0.003246753246753247,0.006493506493506494,0.05194805194805195,0.12987012987012986,0.21103896103896103,2,3
Sense8,Polyphony,9.0,519,16,/title/tt5362884/,0.0055147058823529415,0.5643382352941176,0.001838235294117647,0.0,0.0,0.0,0.014705882352941176,0.05514705882352941,0.14705882352941177,0.2113970588235294,2,4
Sense8,Fear Never Fixed Anything,9.2,506,17,/title/tt5362906/,0.003738317757009346,0.6373831775700934,0.001869158878504673,0.0,0.001869158878504673,0.001869158878504673,0.011214953271028037,0.05420560747663551,0.10093457943925234,0.18691588785046728,2,5
Sense8,"Isolated Above, Connected Below",9.2,456,18,/title/tt5365786/,0.002044989775051125,0.6298568507157464,0.002044989775051125,0.0,0.0,0.002044989775051125,0.02044989775051125,0.0408997955010225,0.1083844580777096,0.19427402862985685,2,6
Sense8,I Have No Room in My Heart for Hate,9.2,439,19,/title/tt5365788/,0.006396588486140725,0.6311300639658849,0.0042643923240938165,0.0,0.0021321961620469083,0.0,0.019189765458422176,0.0511727078891258,0.08742004264392324,0.19829424307036247,2,7
Sense8,All I Want Right Now Is One More Bullet,9.4,470,20,/title/tt5365792/,0.0039603960396039604,0.7029702970297029,0.0019801980198019802,0.0019801980198019802,0.0,0.0019801980198019802,0.013861386138613862,0.03762376237623762,0.05148514851485148,0.18415841584158416,2,8
Sense8,What Family Actually Means,9.3,438,21,/title/tt5365796/,0.0016806722689075631,0.788235294117647,0.0033613445378151263,0.0,0.0,0.0016806722689075631,0.0067226890756302525,0.018487394957983194,0.06386554621848739,0.11596638655462185,2,9
Sense8,"If All the World's a Stage, Identity Is Nothing But a Costume",9.6,559,22,/title/tt5365798/,0.004291845493562232,0.6845493562231759,0.002145922746781116,0.0,0.0,0.0,0.017167381974248927,0.034334763948497854,0.08798283261802575,0.16952789699570817,2,10
Sense8,You Want a War?,9.7,340,23,/title/tt6858802/,0.0025252525252525255,0.8383838383838383,0.0025252525252525255,0.0,0.0025252525252525255,0.0,0.007575757575757576,0.022727272727272728,0.03535353535353535,0.08838383838383838,2,11
